,latitude,longitude,province,city
0,13.754,100.5014,Bangkok,Bangkok
1,12.7797,101.6483,Rayong,Klaeng
2,7.8906,98.3981,Phuket,Phuket
3,13.805,100.4728,Nonthaburi,Bang_Kruai
4,9.5357,99.9357,Surat Thani,Ko_Samui
5,13.5367,99.8171,Ratchaburi,Ratchaburi
6,13.9774,100.7778,Pathum Thani,Ban_Lam_Luk_Ka
7,13.6533,100.2597,Samut Sakhon,Krathum_Baen
8,12.6809,101.258,Rayong,Rayong
9,7.2041,100.5451,Songkhla,Ban_Mai
10,18.2923,99.4928,Lampang,Lampang
11,17.1612,104.1472,Sakon Nakhon,Sakon_Nakhon
12,13.8163,99.8774,Ratchaburi,Ban_Pong
13,14.7981,100.654,Lop Buri,Lop_Buri
14,13.5993,100.5968,Samut Prakan,Samut_Prakan
15,7.8848,98.4001,Phuket,Ban_Talat_Yai
16,16.1848,103.3007,Maha Sarakham,Maha_Sarakham
17,13.5475,100.2736,Samut Sakhon,Samut_Sakhon
18,15.8105,102.0288,Chaiyaphum,Chaiyaphum
19,13.8607,100.5148,Nonthaburi,Mueang_Nonthaburi
20,14.5333,100.9167,Sara Buri,Saraburi
21,12.6096,102.1045,Chanthaburi,Chanthaburi
22,13.8196,100.0443,Nakhon Pathom,Nakhon_Pathom
23,12.6664,100.9007,Chon Buri,Sattahip
24,18.7904,98.9847,Chiang Mai,Chiang_Mai
25,14.9707,102.102,Nakhon Ratchasima,Nakhon_Ratchasima
26,13.1737,100.9311,Chon Buri,Si_Racha
27,19.9086,99.8325,Chiang Rai,Chiang_Rai
28,15.7047,100.1372,Nakhon Sawan,Nakhon_Sawan
29,7.1988,100.5951,Songkhla,Songkhla
30,13.3622,100.9835,Chon Buri,Chon_Buri
31,8.4333,99.9667,Nakhon Si Thammarat,Nakhon_Si_Thammarat
32,14.4742,100.1222,Suphan Buri,Suphan_Buri
33,10.4957,99.1797,Chumphon,Chumphon
34,17.8785,102.742,Nong Khai,Nong_Khai
35,9.1401,99.3331,Surat Thani,Surat_Thani
36,7.0084,100.4767,Songkhla,Hat_Yai
37,13.913,100.4988,Nonthaburi,Pak_Kret
38,13.9,99.7667,Kanchanaburi,Tha_Maka
39,12.5707,99.9588,Prachuap Khiri Khan,Hua_Hin
40,12.9333,100.8833,Pattaya,Phatthaya
41,7.5563,99.6114,Trang,Trang
42,16.4328,103.5066,Kalasin,Kalasin
43,16.419,101.1606,Phetchabun,Phetchabun
44,15.2384,104.8487,Changwat Ubon Ratchathani,Ubon_Ratchathani
45,16.4834,99.5215,Kamphaeng Phet,Kamphaeng_Phet
46,16.8248,100.2586,Phitsanulok,Phitsanulok
47,17.4157,102.7859,Changwat Udon Thani,Udon_Thani
48,14.0041,99.5483,Kanchanaburi,Kanchanaburi
49,14.3517,100.5774,Phra Nakhon Si Ayutthaya,Phra_Nakhon_Si_Ayutthaya
50,17.6256,100.0942,Uttaradit,Uttaradit
51,14.0647,100.6458,Pathum Thani,Khlong_Luang
52,14.7253,100.7954,Sara Buri,Phra_Phutthabat
53,6.54,101.2813,Yala,Yala
54,16.4467,102.833,Khon Kaen,Khon_Kaen
55,13.6585,100.5336,Samut Prakan,Phra_Pradaeng
